Cultivo,"Pimiento","Rojo",53,80,"PARCELA-I46","2023-01-14","ACTIVO",["RIEGO:2023-03-19"]
Cultivo,"Trigo","Duro",19,70,"PARCELA-H22","2023-06-05","EN_RIESGO",["SIEMBRA:2023-11-17"]
Cultivo,"Pimiento","Verde",43,40,"PARCELA-E43","2022-02-14","ACTIVO",["PODA:2022-07-27"]
Cultivo,"Uva","Thompson",22,10,"PARCELA-D72","2024-01-18","ACTIVO",["FUMIGACION:2024-07-16"]
Cultivo,"Frutilla","Ventana",59,20,"PARCELA-C91","2024-03-09","EN_RIESGO",["PODA:2024-08-31"]
Cultivo,"Zanahoria","Chantenay",48,30,"PARCELA-Q93","2024-12-02","EN_RIESGO",["RIEGO:2024-12-16"]
Cultivo,"Pimiento","Verde",12,90,"PARCELA-C47","2022-02-01","ACTIVO",["FERTILIZACION:2022-07-02"]
Cultivo,"Papa","Rosada",39,40,"PARCELA-R62","2022-05-16","EN_RIESGO",["COSECHA:2022-06-23"]
Cultivo,"Maíz","Amarillo",41,80,"PARCELA-U05","2023-06-08","COSECHADO",["FUMIGACION:2023-07-18"]
Cultivo,"Tomate","Grande",24,30,"PARCELA-P95","2022-02-18","ACTIVO",["COSECHA:2022-03-22"]
Cultivo,"Pimiento","Amarillo",25,00,"PARCELA-G94","2024-02-28","COSECHADO",["FERTILIZACION:2024-08-03"]
Cultivo,"Uva","Red Globe",11,30,"PARCELA-X41","2023-11-22","ACTIVO",["FERTILIZACION:2023-11-29"]
Cultivo,"Lechuga","Mantecosa",51,00,"PARCELA-E15","2023-12-15","EN_RIESGO",["FUMIGACION:2024-02-13"]
Cultivo,"Zanahoria","Chantenay",23,60,"PARCELA-K17","2024-09-24","COSECHADO",["FERTILIZACION:2025-02-18"]
Cultivo,"Maíz","Amarillo",22,30,"PARCELA-Q82","2024-06-28","COSECHADO",["RIEGO:2024-12-15"]
Cultivo,"Pimiento","Verde",17,80,"PARCELA-G32","2023-07-14","ACTIVO",["SIEMBRA:2023-08-16"]
Cultivo,"Uva","Crimson",50,90,"PARCELA-K18","2024-01-17","COSECHADO",["SIEMBRA:2024-03-24"]
Cultivo,"Trigo","Blando",5,40,"PARCELA-Q32","2023-10-29","ACTIVO",["FERTILIZACION:2024-01-10"]
Cultivo,"Pimiento","Rojo",22,60,"PARCELA-N23","2024-08-21","EN_RIESGO",["SIEMBRA:2025-01-10"]
Cultivo,"Pimiento","Rojo",46,90,"PARCELA-A99","2024-05-12","EN_RIESGO",["SIEMBRA:2024-05-30"]
